timestamp,value
2025-01-07 02:34:00,0.582
2025-01-07 02:35:00,0.879
2025-01-07 02:36:00,0.998
2025-01-07 02:37:00,0.999
2025-01-07 02:38:00,0.999
2025-01-07 02:39:00,0.999
2025-01-07 02:40:00,1.0116
2025-01-07 02:41:00,1.408
2025-01-07 02:42:00,1.887
2025-01-07 02:43:00,2.204
2025-01-07 02:44:00,2.497
2025-01-07 02:45:00,2.61
2025-01-07 02:46:00,2.71
2025-01-07 02:47:00,2.686
2025-01-07 02:48:00,2.79
2025-01-07 02:49:00,2.673
2025-01-07 02:50:00,2.6870000000000003
2025-01-07 02:51:00,2.7270000000000003
2025-01-07 02:52:00,2.682
2025-01-07 02:53:00,2.591
2025-01-07 02:54:00,2.601
2025-01-07 02:55:00,2.613
2025-01-07 02:56:00,2.694
2025-01-07 02:57:00,2.758
2025-01-07 02:58:00,2.657
2025-01-07 02:59:00,2.6719999999999997
2025-01-07 03:00:00,2.731
2025-01-07 03:01:00,2.651
2025-01-07 03:02:00,2.644
2025-01-07 03:03:00,2.592
2025-01-07 03:04:00,2.3680000000000003
2025-01-07 03:05:00,2.209
2025-01-07 03:06:00,2.115
2025-01-07 03:07:00,1.997
2025-01-07 03:08:00,1.987
2025-01-07 03:09:00,1.91
2025-01-07 03:10:00,1.552
2025-01-07 03:11:00,1.434
2025-01-07 03:12:00,1.264
2025-01-07 03:13:00,0.9531000000000001
2025-01-07 03:14:00,0.6161
2025-01-07 03:15:00,0.1411
2025-01-07 03:16:00,0.1433
2025-01-07 03:17:00,0.1409
2025-01-07 03:18:00,0.13770000000000002
2025-01-07 03:19:00,0.1369
2025-01-07 03:20:00,0.1349
2025-01-07 03:21:00,0.13419999999999999
2025-01-07 03:22:00,0.1402
2025-01-07 03:23:00,0.1339
2025-01-07 03:24:00,0.14
2025-01-07 03:25:00,0.1384
2025-01-07 03:26:00,0.1405
2025-01-07 03:27:00,0.14629999999999999
2025-01-07 03:28:00,0.1404
2025-01-07 03:29:00,0.138
2025-01-07 03:30:00,0.1409
2025-01-07 03:31:00,0.1424
2025-01-07 03:32:00,0.1362
2025-01-07 03:33:00,0.1354
2025-01-07 03:34:00,0.1432
2025-01-07 03:35:00,0.13369999999999999
2025-01-07 03:36:00,0.1406
2025-01-07 03:37:00,0.13699999999999998
2025-01-07 03:38:00,0.14079999999999998
2025-01-07 03:39:00,0.0498
2025-01-07 03:42:00,0.151
2025-01-07 03:43:00,0.428
2025-01-07 03:44:00,0.64
2025-01-07 03:45:00,0.933
2025-01-07 03:46:00,0.998
2025-01-07 03:47:00,0.999
2025-01-07 03:48:00,1.1335
2025-01-07 03:49:00,1.2683
2025-01-07 03:50:00,1.647
2025-01-07 03:51:00,1.81
2025-01-07 03:52:00,1.987
2025-01-07 03:53:00,2.167
2025-01-07 03:54:00,2.313
2025-01-07 03:55:00,2.395
2025-01-07 03:56:00,2.405
2025-01-07 03:57:00,2.403
2025-01-07 03:58:00,2.402
2025-01-07 03:59:00,2.447
2025-01-07 04:00:00,2.565
2025-01-07 04:01:00,2.558
2025-01-07 04:02:00,2.562
2025-01-07 04:03:00,2.564
2025-01-07 04:04:00,2.58
2025-01-07 04:05:00,2.588
2025-01-07 04:06:00,2.614
2025-01-07 04:07:00,2.6229999999999998
2025-01-07 04:08:00,2.635
2025-01-07 04:09:00,2.637
2025-01-07 04:10:00,2.535
2025-01-07 04:11:00,2.434
2025-01-07 04:12:00,2.2600000000000002
2025-01-07 04:13:00,2.13
2025-01-07 04:14:00,2.0300000000000002
2025-01-07 04:15:00,1.957
2025-01-07 04:16:00,1.9729999999999999
2025-01-07 04:17:00,1.838
2025-01-07 04:18:00,1.641
2025-01-07 04:19:00,1.494
2025-01-07 04:20:00,1.26
2025-01-07 04:21:00,1.278
2025-01-07 04:22:00,0.9909
2025-01-07 04:23:00,0.6984
2025-01-07 04:24:00,0.3362
2025-01-07 04:25:00,0.103
2025-01-07 04:26:00,0.1012
2025-01-07 04:27:00,0.0994
2025-01-07 04:28:00,0.0988
2025-01-07 04:29:00,0.0978
2025-01-07 04:30:00,0.09419999999999999
2025-01-07 04:31:00,0.09570000000000001
2025-01-07 04:32:00,0.1037
2025-01-07 04:33:00,0.0965
2025-01-07 04:34:00,0.0966
2025-01-07 04:35:00,0.1052
2025-01-07 04:36:00,0.0977
2025-01-07 04:37:00,0.09809999999999999
2025-01-07 04:38:00,0.1016
2025-01-07 04:39:00,0.098
2025-01-07 04:40:00,0.0961
2025-01-07 04:41:00,0.0976
2025-01-07 04:42:00,0.0994
2025-01-07 04:43:00,0.0983
2025-01-07 04:44:00,0.0953
2025-01-07 04:45:00,0.0943
2025-01-07 04:46:00,0.10020000000000001
2025-01-07 04:47:00,0.0968
2025-01-07 04:48:00,0.0994
2025-01-07 04:49:00,0.0997
2025-01-07 04:50:00,0.0968
2025-01-07 04:51:00,0.09960000000000001
2025-01-07 04:52:00,0.0936
2025-01-07 04:53:00,0.0961
2025-01-07 04:54:00,0.1004
2025-01-07 04:55:00,0.1005
2025-01-07 04:56:00,0.09519999999999999
2025-01-07 04:57:00,0.0995
2025-01-07 04:58:00,0.1014
2025-01-07 04:59:00,0.10099999999999999
2025-01-07 05:00:00,0.0987
2025-01-07 05:01:00,0.0976
2025-01-07 05:02:00,0.0987
2025-01-07 05:03:00,0.09999999999999999
2025-01-07 05:04:00,0.0997
2025-01-07 05:05:00,0.1006
2025-01-07 05:06:00,0.1036
2025-01-07 05:07:00,0.10189999999999999
2025-01-07 05:08:00,0.10039999999999999
2025-01-07 05:09:00,0.0965
2025-01-07 05:10:00,0.0919
2025-01-07 05:11:00,0.0951
2025-01-07 05:12:00,0.09820000000000001
2025-01-07 05:22:00,0.313
2025-01-07 05:23:00,0.471
2025-01-07 05:24:00,0.743
2025-01-07 05:25:00,0.981
2025-01-07 05:26:00,0.998
2025-01-07 05:27:00,0.998
2025-01-07 05:28:00,0.999
2025-01-07 05:29:00,0.999
2025-01-07 05:30:00,0.998
2025-01-07 05:31:00,0.999
2025-01-07 05:32:00,0.999
2025-01-07 05:33:00,0.999
2025-01-07 05:34:00,0.999
2025-01-07 05:35:00,1.0
2025-01-07 05:36:00,1.0195
2025-01-07 05:37:00,1.0169
2025-01-07 05:38:00,1.0161
2025-01-07 05:39:00,1.0191
2025-01-07 05:40:00,1.023
2025-01-07 05:41:00,1.0337
2025-01-07 05:42:00,1.0351
2025-01-07 05:43:00,1.038
2025-01-07 05:44:00,1.0385
2025-01-07 05:45:00,1.038
2025-01-07 05:46:00,1.0434
2025-01-07 05:47:00,1.0479
2025-01-07 05:48:00,1.0482
2025-01-07 05:49:00,1.0524
2025-01-07 05:50:00,1.058
2025-01-07 05:51:00,1.0596
2025-01-07 05:52:00,1.0575
2025-01-07 05:53:00,1.0613
2025-01-07 05:54:00,1.0655
2025-01-07 05:55:00,1.0635
2025-01-07 05:56:00,1.0653
2025-01-07 05:57:00,1.0378
2025-01-07 05:58:00,0.9601
2025-01-07 05:59:00,0.7897
2025-01-07 06:00:00,0.6866
2025-01-07 06:01:00,0.5344
2025-01-07 06:02:00,0.4589
2025-01-07 06:03:00,0.4391
2025-01-07 06:04:00,0.1264
2025-01-07 06:05:00,0.1226
2025-01-07 06:06:00,0.0998
2025-01-07 06:07:00,0.1006
2025-01-07 06:08:00,0.1169
2025-01-07 06:09:00,0.12279999999999999
2025-01-07 06:10:00,0.1262
2025-01-07 06:11:00,0.1242
2025-01-07 06:12:00,0.1205
2025-01-07 06:13:00,0.12340000000000001
2025-01-07 06:14:00,0.1227
2025-01-07 06:15:00,0.1249
2025-01-07 06:16:00,0.1217
2025-01-07 06:17:00,0.12040000000000001
2025-01-07 06:18:00,0.1227
2025-01-07 06:19:00,0.123
2025-01-07 06:20:00,0.1245
2025-01-07 06:21:00,0.12390000000000001
2025-01-07 06:22:00,0.1254
2025-01-07 06:23:00,0.1107
2025-01-07 06:24:00,0.1
2025-01-07 06:25:00,0.1
2025-01-07 06:26:00,0.1266
2025-01-07 06:27:00,0.1213
2025-01-07 06:28:00,0.1287
2025-01-07 06:29:00,0.12140000000000001
2025-01-07 06:30:00,0.1247
2025-01-07 06:31:00,0.1251
2025-01-07 06:32:00,0.1218
2025-01-07 06:33:00,0.1291
2025-01-07 06:34:00,0.1262
2025-01-07 06:35:00,0.12440000000000001
2025-01-07 06:36:00,0.1267
2025-01-07 06:37:00,0.1249
2025-01-07 06:38:00,0.1247
2025-01-07 06:39:00,0.1227
2025-01-07 06:40:00,0.1201
2025-01-07 06:41:00,0.12329999999999999
2025-01-07 06:42:00,0.1255
2025-01-07 06:43:00,0.12279999999999999
2025-01-07 06:44:00,0.121
2025-01-07 06:45:00,0.1238
2025-01-07 06:46:00,0.1253
2025-01-07 06:47:00,0.12440000000000001
2025-01-07 06:48:00,0.1262
2025-01-07 06:49:00,0.1194
2025-01-07 06:50:00,0.1258
2025-01-07 06:51:00,0.1248
2025-01-07 06:52:00,0.11760000000000001
2025-01-07 06:53:00,0.1222
2025-01-07 06:54:00,0.1253
2025-01-07 06:55:00,0.1269
2025-01-07 06:56:00,0.1207
2025-01-07 06:57:00,0.1245
2025-01-07 06:58:00,0.1262
2025-01-07 06:59:00,0.12090000000000001
2025-01-07 07:00:00,0.11950000000000001
2025-01-07 07:01:00,0.1235
2025-01-07 07:02:00,0.12079999999999999
2025-01-07 07:03:00,0.12160000000000001
2025-01-07 07:04:00,0.1258
2025-01-07 07:05:00,0.1242
2025-01-07 07:06:00,0.1253
2025-01-07 07:07:00,0.12040000000000001
2025-01-07 07:08:00,0.12190000000000001
2025-01-07 07:09:00,0.1232
2025-01-07 07:10:00,0.1217
2025-01-07 07:11:00,0.1253
2025-01-07 07:12:00,0.1245
2025-01-07 07:29:00,0.441
2025-01-07 07:30:00,0.54
2025-01-07 07:31:00,0.748
2025-01-07 07:32:00,0.983
2025-01-07 07:33:00,0.999
2025-01-07 07:34:00,0.999
2025-01-07 07:35:00,0.999
2025-01-07 07:36:00,0.999
2025-01-07 07:37:00,0.998
2025-01-07 07:38:00,0.999
2025-01-07 07:39:00,0.999
2025-01-07 07:40:00,0.999
2025-01-07 07:41:00,1.0
2025-01-07 07:42:00,0.999
2025-01-07 07:43:00,0.999
2025-01-07 07:44:00,1.0
2025-01-07 07:45:00,0.999
2025-01-07 07:46:00,0.999
2025-01-07 07:47:00,0.999
2025-01-07 07:48:00,0.999
2025-01-07 07:49:00,0.998
2025-01-07 07:50:00,0.999
2025-01-07 07:51:00,0.998
2025-01-07 07:52:00,0.999
2025-01-07 07:53:00,0.999
2025-01-07 07:54:00,0.998
2025-01-07 07:55:00,0.999
2025-01-07 07:56:00,0.998
2025-01-07 07:57:00,0.999
2025-01-07 07:58:00,0.998
2025-01-07 07:59:00,0.998
2025-01-07 08:00:00,0.999
2025-01-07 08:01:00,0.999
2025-01-07 08:02:00,0.997
2025-01-07 08:03:00,0.991
2025-01-07 08:04:00,0.968
2025-01-07 08:05:00,0.894
2025-01-07 08:06:00,0.747
2025-01-07 08:07:00,0.56
2025-01-07 08:08:00,0.479
2025-01-07 08:09:00,0.504
2025-01-07 08:10:00,0.455
2025-01-07 08:11:00,0.104
2025-01-07 08:12:00,0.0805
2025-01-07 08:13:00,0.0787
2025-01-07 08:14:00,0.0777
2025-01-07 08:15:00,0.075
2025-01-07 08:16:00,0.0779
